Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,0,06,Health,121.09522911844475,2009-11-01,88.10818362622592,All Rwanda
0,0,07,Transport,772.5927231856721,2009-11-01,89.7173718363722,All Rwanda
0,0,08,Communication,238.1321768462081,2009-11-01,109.27504550755349,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-11-01,96.42077223848054,All Rwanda
0,0,10,Education,200.9885867838568,2009-11-01,61.178995414783856,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-11-01,84.36486205539543,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-11-01,86.87621806950104,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2009-12-01,87.35849898585775,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2009-12-01,86.89449755475572,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2009-12-01,91.99063936432557,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2009-12-01,83.84317533055666,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-12-01,67.84905729154005,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-12-01,90.25969988964967,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-12-01,83.68082448025424,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-12-01,86.03779263634232,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-12-01,84.84956518847777,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-12-01,91.23378080555095,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-12-01,96.12988995971362,All Rwanda
0,0,06,Health,121.09522911844475,2009-12-01,87.83565955999426,All Rwanda
0,0,07,Transport,772.5927231856721,2009-12-01,88.98068426659977,All Rwanda
0,0,08,Communication,238.1321768462081,2009-12-01,108.93816317939152,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-12-01,94.8092671021884,All Rwanda
